id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
6835,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011.0,,Timberland Unisex Max 2 Shine Black Shoe Accessories
6834,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Orange,Summer,2011.0,,Timberland Unisex Max 2 Shine Neutr Shoe Accessories
6841,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011.0,,Timberland Unisex Foam Cleaner Shoe Accessories
6840,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Brown,Summer,2011.0,,Timberland Unisex Dry Cleaning Shoe Kit
12448,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Tan,Fall,2011.0,,Timberland Unisex Tan Shoe Accessories
12447,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Brown,Fall,2011.0,,Timberland Unisex Brown Shoe Accessories
12449,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Brown,Fall,2011.0,,Timberland Unisex Brown Shoe Accessories
22232,Men,Accessories,Shoe Accessories,Shoe Accessories,Brown,Fall,2012.0,,Timberland Men Brown Shoe Laces
12452,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Orange,Fall,2011.0,,Timberland Unisex Orange Shoe Accessories
22233,Men,Accessories,Shoe Accessories,Shoe Accessories,Black,Fall,2012.0,,Timberland Men Black Shoe Laces
6838,Unisex,Accessories,Shoe Accessories,Shoe Accessories,White,Summer,2011.0,,Timberland Unisex Boot Sauce Leather Conditioner
6836,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011.0,,Timberland Unisex Balm Proofer Shoe Accessories
6837,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011.0,,Timberland Unisex Boot Sauce Brown Shoe Accessories
6839,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Winter,2015.0,,Timberland Unisex Waximum Shoe Accessories
6798,Men,Accessories,Socks,Socks,Black,Summer,2011.0,Casual,Nike Men's Elit Black Orange Socks
7649,Men,Accessories,Socks,Socks,White,Summer,2016.0,Casual,Wrangler Men's White Ankle Length Socks
32156,Women,Accessories,Socks,Socks,Black,Summer,2017.0,Casual,Playboy Women Playmate Black Ankle Socks
32043,Men,Accessories,Socks,Socks,Grey,Summer,2016.0,Casual,Playboy Men Grey & Black Socks
31999,Men,Accessories,Socks,Socks,Cream,Summer,2016.0,Formal,Playboy Men Cream Socks
29213,Women,Accessories,Socks,Socks,Pink,Summer,2012.0,Sports,Fila Women Pink Socks
9364,Women,Accessories,Socks,Socks,Blue,Fall,2011.0,Casual,Puma Women Logo Stud Blue Socks
37891,Unisex,Accessories,Socks,Socks,Multi,Summer,2016.0,Casual,Happy Socks Unisex Multi Color Socks
14618,Men,Accessories,Socks,Socks,Brown,Summer,2011.0,Casual,United Colors of Benetton Men Pack of 3 Brown Socks
43559,Men,Accessories,Socks,Socks,White,Summer,2012.0,Casual,Puma Men Pack of 3 Socks
14614,Men,Accessories,Socks,Socks,Navy Blue,Summer,2011.0,Casual,United Colors of Benetton Men Pack of 2 Navy Blue Socks
31997,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Formal,Playboy Men Black Socks
7657,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Wrangler Men's Black Ankle Length Socks
32029,Men,Accessories,Socks,Socks,Grey,Summer,2016.0,Sports,Playboy Men Pack of 3 Socks
29216,Women,Accessories,Socks,Socks,White,Fall,2014.0,Sports,Fila Women White Socks
51162,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Raymond Men Black Socks
40237,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Provogue Men Pack of 3 Striped Socks
40238,Men,Accessories,Socks,Socks,Black,Summer,2016.0,Casual,Provogue Men Black Pack of 3 Socks
9351,Men,Accessories,Socks,Socks,Black,Fall,2011.0,Casual,Puma Men Sport Pack of 3 Pairs Black Sock
29211,Women,Accessories,Socks,Socks,Blue,Summer,2012.0,Sports,Fila Women Blue Socks
32166,Women,Accessories,Socks,Socks,Red,Summer,2017.0,Casual,Playboy Women Playmate Red Ankle Socks
37654,Men,Accessories,Socks,Socks,Beige,Summer,2016.0,Casual,Playboy Men Beige Socks
18218,Men,Accessories,Socks,Socks,Black,Fall,2011.0,Casual,Manchester United Men Black Socks
8503,Unisex,Accessories,Socks,Socks,White,Summer,2011.0,Sports,Nike Unisex China Swsh Ct White Socks
29199,Men,Accessories,Socks,Socks,Grey,Summer,2012.0,Sports,Fila Men Grey Socks
17402,Men,Accessories,Socks,Socks,Multi,Summer,2016.0,Casual,Reid & Taylor Men Stripes Multi Socks
30546,Unisex,Accessories,Socks,Socks,White,Summer,2012.0,Sports,Nike Unisex Pack of 3 Socks
43555,Women,Accessories,Socks,Socks,Cream,Summer,2012.0,Casual,Puma Women Cream Socks
18508,Men,Accessories,Socks,Socks,Black,Summer,2010.0,Casual,Puma Men Ftpa Quarters Black Socks
18591,Men,Accessories,Socks,Socks,White,Fall,2013.0,Sports,Puma Men White Pack of 3 Socks
45824,Women,Free Items,Vouchers,Ipad,Blue,Summer,2012.0,Casual,Senorita Women Blue Flats
